id_processo;numero;grau;classe;id_classe;nome_natureza;id_orgao_julgador;nome_orgao_julgador;nome_municipio;id_assunto;flg_juizo_100_digital;flg_nucleo_4;dt_evento;var;sistema
203455309;;JE;Termo Circunstanciado;278;Conhecimento Criminal;36450700007;Juizado Especial Criminal de Rio Branco;RIO BRANCO;;Não;Não;2026-01-15 00:00:00;Julgados;SAJ
203588667;;G2;Agravo de Instrumento;202;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-03-12 00:00:00;Casos Novos;EPROC
203588667;;G2;Agravo de Instrumento;202;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-05-21 00:00:00;Julgados;EPROC
203552411;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36300010701;1ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2025-04-17 00:00:00;Pendentes;SAJ
203598021;;G2;Apelação Criminal;417;Conhecimento Criminal;335609002022;Gabinete do Des. Samoel Martins Evangelista;RIO BRANCO;;Não;Não;2026-04-15 00:00:00;Casos Novos;SAJ
203598021;;G2;Apelação Criminal;417;Conhecimento Criminal;335609002022;Gabinete do Des. Samoel Martins Evangelista;RIO BRANCO;;Não;Não;2026-06-19 00:00:00;Julgados;SAJ
203527815;;G2;Agravo de Instrumento;202;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-05-15 00:00:00;Casos Novos;EPROC
203527815;;G2;Agravo de Instrumento;202;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-05-25 00:00:00;Julgados;EPROC
203590984;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2026-05-28 00:00:00;Julgados;SAJ
203527115;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36420700001;3º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-01-26 00:00:00;Casos Novos;EPROC
203527115;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36420700001;3º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-04-14 00:00:00;Julgados;EPROC
203493248;;G1;Pedido de Busca e Apreensão Criminal;309;Conhecimento Criminal;81560140002;Vara Criminal de Tarauacá;TARAUACA;;Não;Não;2026-02-20 00:00:00;Casos Novos;SAJ
203600637;;G1;Processo de Apuração de Ato Infracional;1464;Conhecimento Não Criminal;137340810001;1ª Vara da Infância e da Juventude de  Rio Branco;RIO BRANCO;;Não;Não;2026-06-10 00:00:00;Casos Novos;EPROC
