grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;110460010702;Execução de Título Extrajudicial;202605;0;0;0;0;0;0;0;0
G1;110460010702;Conhecimento;202605;135;15;16;141;1497;207;212;1446
G1;110460010702;Execução Judicial;202605;34;22;43;58;408;236;262;552
G1;110460010702;Conhecimento;202606;105;6;19;138;1456;182;202;1466
G1;110460010702;Execução Judicial;202606;33;19;27;47;397;240;282;570
G1;110460010702;Execução de Título Extrajudicial;202606;0;0;0;0;0;0;0;0
G1;116740030001;Conhecimento;202301;58;0;1;16;58;0;1;16
G1;116740030001;Execução de Título Extrajudicial;202301;3;0;0;18;3;0;0;18
G1;116740030001;Execução Judicial;202301;7;0;2;12;7;0;2;12
G1;116740030001;Execução Judicial;202302;14;2;0;8;21;2;2;20
G1;116740030001;Execução de Título Extrajudicial;202302;1;0;0;12;4;0;0;30
G1;116740030001;Conhecimento;202302;16;1;3;44;74;1;4;60
G1;116740030001;Execução Judicial;202303;17;1;1;14;38;3;3;34
G1;116740030001;Conhecimento;202303;34;1;1;35;108;2;5;95
G1;116740030001;Execução de Título Extrajudicial;202303;3;0;0;7;7;0;0;37
G1;116740030001;Execução Judicial;202304;19;3;0;16;57;6;3;50
G1;116740030001;Conhecimento;202304;42;1;1;61;150;3;6;156
G1;116740030001;Execução de Título Extrajudicial;202304;6;0;0;3;13;0;0;40
G1;116740030001;Conhecimento;202305;48;3;2;69;198;6;8;225
G1;116740030001;Execução Judicial;202305;24;1;1;40;81;7;4;90
G1;116740030001;Execução de Título Extrajudicial;202305;8;0;0;8;21;0;0;48
G1;116740030001;Execução de Título Extrajudicial;202306;1;0;0;26;22;0;0;74
G1;116740030001;Conhecimento;202306;52;3;1;78;250;9;9;303
G1;116740030001;Execução Judicial;202306;16;1;4;19;97;8;8;109
G1;116740030001;Conhecimento;202307;59;7;2;69;309;16;11;372
G1;116740030001;Execução de Título Extrajudicial;202307;3;0;0;12;25;0;0;86
G1;116740030001;Execução Judicial;202307;19;4;2;15;116;12;10;124
G1;116740030001;Execução de Título Extrajudicial;202308;2;0;0;4;27;0;0;90
G1;116740030001;Execução Judicial;202308;29;1;2;24;145;13;12;148
G1;116740030001;Conhecimento;202308;38;2;4;101;347;18;15;473
G1;116740030001;Conhecimento;202309;71;1;1;48;418;19;16;521
G1;116740030001;Execução Judicial;202309;22;2;0;8;167;15;12;156
G1;116740030001;Execução de Título Extrajudicial;202309;13;0;0;8;40;0;0;98
G1;116740030001;Conhecimento;202310;86;0;1;92;504;19;17;613
G1;116740030001;Execução Judicial;202310;26;3;1;28;193;18;13;184
G1;116740030001;Execução de Título Extrajudicial;202310;7;0;0;10;47;0;0;108
G1;116740030001;Execução de Título Extrajudicial;202311;3;0;0;10;50;0;0;118
